time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Duration of ended episode,1238,414,33.4,262,21.2,190,15.3,201,16.2,171,13.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Duration of ended episode,2337,915,39.2,534,22.8,438,18.7,260,11.1,190,8.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Duration of ended episode,1758,491,27.9,438,24.9,361,20.5,286,16.3,182,10.4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Duration of ended episode,1410,492,34.9,247,17.5,260,18.4,277,19.6,134,9.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Duration of ended episode,1241,276,22.2,374,30.1,248,20,168,13.5,175,14.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Duration of ended episode,3219,1529,47.5,502,15.6,438,13.6,443,13.8,307,9.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Duration of ended episode,1847,659,35.7,343,18.6,330,17.9,247,13.4,268,14.5
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Duration of ended episode,1873,918,49,225,12,296,15.8,251,13.4,183,9.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Duration of ended episode,4973,2322,46.7,730,14.7,797,16,685,13.8,439,8.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Duration of ended episode,1813,1253,69.1,159,8.8,159,8.8,143,7.9,99,5.5
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Duration of ended episode,2414,1070,44.3,353,14.6,400,16.6,332,13.8,259,10.7
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Duration of ended episode,2171,973,44.8,516,23.8,317,14.6,198,9.1,167,7.7
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Duration of ended episode,3396,1326,39,474,14,600,17.7,583,17.2,413,12.2
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Duration of ended episode,2540,1189,46.8,497,19.6,422,16.6,226,8.9,206,8.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Duration of ended episode,3754,1289,34.3,687,18.3,837,22.3,536,14.3,405,10.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Duration of ended episode,2774,1315,47.4,587,21.2,435,15.7,231,8.3,206,7.4
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Duration of ended episode,836,277,33.1,83,9.9,169,20.2,187,22.4,120,14.4
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Duration of ended episode,3793,1950,51.4,719,19,514,13.6,368,9.7,242,6.4
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Duration of ended episode,1926,725,37.6,245,12.7,394,20.5,322,16.7,240,12.5
