time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Duration of open episode,3480,1062,30.5,415,11.9,428,12.3,563,16.2,1012,29.1
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Duration of open episode,2321,587,25.3,239,10.3,358,15.4,406,17.5,731,31.5
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Duration of open episode,2937,771,26.3,309,10.5,402,13.7,424,14.4,1031,35.1
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Duration of open episode,4417,1192,27,477,10.8,702,15.9,697,15.8,1349,30.5
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Duration of open episode,157,32,20.4,10,6.4,32,20.4,19,12.1,64,40.8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Duration of open episode,2815,603,21.4,272,9.7,462,16.4,482,17.1,996,35.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Duration of open episode,9318,2934,31.5,875,9.4,1084,11.6,1196,12.8,3229,34.7
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Duration of open episode,3780,1045,27.6,410,10.8,538,14.2,535,14.2,1252,33.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Duration of open episode,2280,566,24.8,169,7.4,266,11.7,347,15.2,932,40.9
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Duration of open episode,1895,184,9.7,156,8.2,262,13.8,623,32.9,670,35.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Duration of open episode,2845,857,30.1,244,8.6,294,10.3,352,12.4,1098,38.6
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Duration of open episode,1934,287,14.8,137,7.1,246,12.7,294,15.2,970,50.2
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Duration of open episode,2119,712,33.6,188,8.9,234,11,216,10.2,769,36.3
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Duration of open episode,5454,1155,21.2,549,10.1,698,12.8,921,16.9,2131,39.1
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Duration of open episode,3875,1105,28.5,443,11.4,473,12.2,509,13.1,1345,34.7
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Duration of open episode,1665,260,15.6,156,9.4,271,16.3,332,19.9,646,38.8
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Duration of open episode,2184,441,20.2,212,9.7,292,13.4,321,14.7,918,42
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Duration of open episode,3778,1117,29.6,355,9.4,514,13.6,569,15.1,1223,32.4
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Duration of open episode,2619,415,15.8,247,9.4,387,14.8,540,20.6,1030,39.3
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Duration of open episode,3922,937,23.9,428,10.9,523,13.3,483,12.3,1551,39.5
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Duration of open episode,1372,340,24.8,105,7.7,144,10.5,222,16.2,561,40.9
2023,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Duration of open episode,2859,1013,35.4,345,12.1,297,10.4,300,10.5,904,31.6
