time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,CPP_At31,Neglect_Initial,Physical_Abuse_Initial,Sexual_Abuse_Initial,Emotional_Abuse_Initial,Multiple_Initial
2020,Reporting year,National,E92000001,England,Ethnicity,Black or Black British,2570,1060,410,80,960,70
2020,Reporting year,National,E92000001,England,Ethnicity,Other ethnic group,920,370,110,40,370,30
2019,Reporting year,National,E92000001,England,Gender,Total,52260,25330,4170,2230,18460,2070
2019,Reporting year,National,E92000001,England,Gender,Female,24500,11490,1800,1360,8870,980
2019,Reporting year,National,E92000001,England,Gender,Male,26480,12970,2240,850,9360,1060
2019,Reporting year,National,E92000001,England,Gender,Unknown or Indeterminate gender,70,40,10,c,10,c
2019,Reporting year,National,E92000001,England,Age,Unborn,1210,820,110,20,230,30
2019,Reporting year,National,E92000001,England,Age,Under 1,4820,2630,580,140,1350,120
2019,Reporting year,National,E92000001,England,Age,1-4 years,13130,6420,1090,390,4760,460
2019,Reporting year,National,E92000001,England,Age,5-9 years,15180,7050,1090,580,5850,610
2019,Reporting year,National,E92000001,England,Age,10-15 years,15580,7320,1080,890,5580,720
2019,Reporting year,National,E92000001,England,Age,16 & over,2340,1090,220,210,700,130
2019,Reporting year,National,E92000001,England,Ethnicity,Known ethnicity,50620,24410,4010,2180,18000,2020
2019,Reporting year,National,E92000001,England,Ethnicity,White,38980,19910,2660,1780,13140,1480
2019,Reporting year,National,E92000001,England,Ethnicity,Mixed,4780,2160,370,130,1920,200
2019,Reporting year,National,E92000001,England,Ethnicity,Asian or Asian British,3400,940,440,150,1700,180
2019,Reporting year,National,E92000001,England,Ethnicity,Black or Black British,2540,1060,430,80,860,130
2019,Reporting year,National,E92000001,England,Ethnicity,Other ethnic group,910,330,120,50,380,40
2018,Reporting year,National,E92000001,England,Gender,Total,53790,25820,4120,2180,18860,2820
2018,Reporting year,National,E92000001,England,Gender,Female,25410,11710,1900,1330,9130,1330
2018,Reporting year,National,E92000001,England,Gender,Male,27160,13290,2110,810,9500,1440
2018,Reporting year,National,E92000001,England,Gender,Unknown or Indeterminate gender,70,30,10,c,20,c
2018,Reporting year,National,E92000001,England,Age,Unborn,1150,780,100,30,200,40
2018,Reporting year,National,E92000001,England,Age,Under 1,5000,2710,510,150,1410,210
2018,Reporting year,National,E92000001,England,Age,1-4 years,13750,6740,1110,370,4910,620
2018,Reporting year,National,E92000001,England,Age,5-9 years,15860,7260,1120,570,6020,890
2018,Reporting year,National,E92000001,England,Age,10-15 years,15810,7320,1100,840,5640,910
2018,Reporting year,National,E92000001,England,Age,16 & over,2220,1010,170,210,680,150
2018,Reporting year,National,E92000001,England,Ethnicity,Known ethnicity,51880,24720,3960,2110,18350,2740
2018,Reporting year,National,E92000001,England,Ethnicity,White,39910,20100,2570,1700,13430,2100
2018,Reporting year,National,E92000001,England,Ethnicity,Mixed,4830,2100,410,140,1940,240
2018,Reporting year,National,E92000001,England,Ethnicity,Asian or Asian British,3410,990,450,110,1650,200
2018,Reporting year,National,E92000001,England,Ethnicity,Black or Black British,2950,1210,400,120,1030,180
2018,Reporting year,National,E92000001,England,Ethnicity,Other ethnic group,790,320,120,30,290,30
