time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_episodes_rate,Anypoint_child,Anypoint_child_rate,Started_episodes,Started_episodes_rate,Started_child,Started_child_rate,Ended_episodes,Ended_episodes_rate,Ended_child,Ended_child_rate,At31_episodes,At31_episodes_rate,Awaiting_assessment,Awaiting_assessment_rate
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Children in Need,4829,804.1,4480,745.9,2772,461.6,2586,430.6,2564,426.9,2447,407.4,2265,377.1,272,45.3
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Children in Need,11944,773.1,10391,672.6,7229,467.9,6250,404.6,6614,428.1,5821,376.8,5330,345,213,13.8
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Children in Need,3439,387.6,3320,374.2,1513,170.5,1484,167.3,1326,149.4,1288,145.2,2113,238.1,32,3.6
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Children in Need,5878,404.9,5340,367.8,3488,240.3,3234,222.8,2519,173.5,2349,161.8,3359,231.4,277,19.1
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Children in Need,8509,577.9,7875,534.8,5164,350.7,4811,326.7,4831,328.1,4613,313.3,3678,249.8,479,32.5
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Children in Need,4437,546.5,4185,515.4,2394,294.8,2284,281.3,2216,272.9,2123,261.5,2221,273.5,155,19.1
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Children in Need,4107,608.3,3963,587,1585,234.8,1542,228.4,1733,256.7,1704,252.4,2374,351.6,32,4.7
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Children in Need,7164,424.1,6848,405.4,3355,198.6,3223,190.8,2991,177,2942,174.1,4173,247,127,7.5
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Children in Need,265,332.4,258,323.6,114,143,112,140.5,102,127.9,102,127.9,163,204.5,9,11.3
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Children in Need,4921,518.3,4680,493,2337,246.2,2244,236.4,2264,238.5,2192,230.9,2657,279.9,175,18.4
